"product_id","product_category","product_weight_g"
"e673e90efa65a5409ff4196c038bb5af","bed table bath",0
"81781c0fed9fe1ad6e8c81fca1e1cb08","bed table bath",0
"8038040ee2a71048d4bdbbdc985b69ab","bed table bath",0
"36ba42dd187055e1fbe943b2d11430ca","bed table bath",0
"ad7d07f5775feab3f20504d1ad3fff11","Furniture Decoration",2
"f9fafac43d3416d92ecc303fdeb1743d","Furniture Decoration",2
"8aae4df46baf1278422b69edbb50bd35","Furniture Decoration",2
"7ddb76f2c7237acc852358b95e7946a8","stationary store",2
"5837bba0ce6e35e6f2dc5c3e223e3276","Furniture Decoration",2
